date,open,high,low,close,cvd
2025-04-02,85201.2,89042.7,82141.5,82508.1,51268.609476
2025-04-03,82508.1,83911.0,81177.7,83132.9,52105.134627
2025-04-04,83133.0,84709.7,81657.9,83840.8,52960.665458
2025-04-05,83840.8,84200.0,82400.0,83508.9,53113.900200
2025-04-06,83508.9,83680.0,77057.7,78363.4,50877.191072
2025-04-07,78364.8,81323.6,74409.1,79130.1,52777.375083
2025-04-08,79130.1,80800.0,76164.6,76276.5,50440.394412
2025-04-09,76276.5,83548.9,74572.5,82556.3,54546.208535
2025-04-10,82556.3,82676.5,78451.2,79552.1,53459.056097
2025-04-11,79552.1,84261.7,78914.7,83420.1,55531.341142
2025-04-12,83420.1,85850.9,82750.0,85284.1,56757.687200
2025-04-13,85284.1,86037.9,83025.5,83719.0,55817.572507
2025-04-14,83719.8,85792.1,83708.2,84530.7,55307.813135
2025-04-15,84530.7,86401.0,83600.0,83633.5,53909.046944
2025-04-16,83633.5,85419.7,83146.0,84023.8,53484.775436
2025-04-17,84027.5,85444.0,83777.2,84910.1,53819.492863
2025-04-18,84910.1,85087.9,84295.4,84472.5,53570.253791
2025-04-19,84472.5,85611.7,84384.6,85121.3,53651.651642
2025-04-20,85121.3,85309.2,84007.4,85150.1,54042.829984
2025-04-21,85150.0,88490.0,85150.0,87500.6,54817.684892
2025-04-22,87500.7,93888.0,87100.0,93472.0,57425.451456
2025-04-23,93472.0,94635.1,91949.5,93677.0,58001.184521
2025-04-24,93677.0,94000.0,91711.0,93999.9,59080.337563
2025-04-25,94000.0,95837.7,92900.0,94717.1,59614.547800
2025-04-26,94717.2,95189.5,93907.5,94663.5,59704.091722
2025-04-27,94663.5,95348.5,93621.5,93817.0,59292.531677
2025-04-28,93817.0,95600.0,92900.0,94998.1,59989.402348
2025-04-29,94998.1,95469.2,93809.5,94269.6,59291.604551
2025-04-30,94269.7,95195.0,92970.5,94205.4,59411.011940
2025-05-01,94205.4,97407.8,94148.3,96469.9,60109.771587
2025-05-02,96469.9,97885.0,96386.7,96920.7,59767.798108
2025-05-03,96920.7,96922.3,95785.9,95869.9,59228.583275
2025-05-04,95869.9,96298.0,94153.2,94303.1,58579.946066
2025-05-05,94303.1,95173.9,93570.1,94727.0,59048.890196
2025-05-06,94727.0,96877.8,93398.5,96816.7,60237.202093
2025-05-07,96816.7,97650.0,95824.0,97031.4,60676.562964
2025-05-08,97031.4,104082.5,96874.9,103228.0,62959.257138
2025-05-09,103228.0,104319.1,102344.7,102976.9,62481.086523
2025-05-10,102977.0,104943.7,102833.3,104800.0,63082.331939
2025-05-11,104799.9,104919.7,103326.8,104119.0,63078.172313
2025-05-12,104119.0,105728.8,100772.6,102825.0,62757.117316
2025-05-13,102825.1,104980.0,101525.1,104156.7,63335.157393
2025-05-14,104156.8,104280.1,102591.5,103589.7,63521.765518
2025-05-15,103589.7,104123.0,101441.6,103761.7,64239.281413
2025-05-16,103761.7,104500.0,103130.0,103500.1,63809.931671
2025-05-17,103500.1,103697.1,102690.0,103169.1,63790.147116
2025-05-18,103169.1,106631.8,103148.2,106525.6,65620.279625
2025-05-19,106525.6,107042.1,102100.0,105637.7,66507.669486
2025-05-20,105637.7,107262.6,104269.0,106855.6,67755.413716
2025-05-21,106855.6,110698.0,106155.0,109675.1,69587.942803
2025-05-22,109675.1,111983.2,109287.2,111711.1,71295.177070
2025-05-23,111711.1,111785.3,106824.0,107333.5,69249.386156
2025-05-24,107333.5,109503.4,106905.8,107824.2,69097.285748
2025-05-25,107824.2,109300.5,106672.9,109040.4,69598.971885
